date,mr,y
2025-02-19,50.0,1.0
2025-02-19,50.0,1.0
2025-02-19,50.0,1.0
2025-02-20,50.0,1.0
2025-02-20,50.0,1.0
2025-02-20,50.0,1.0
2025-02-21,50.0,1.0
2025-02-21,50.0,1.0
2025-02-21,50.0,1.0
2025-02-22,50.0,1.0
2025-02-22,50.0,1.0
2025-02-22,50.0,1.0
2025-02-23,15.0,1.0
2025-02-23,15.0,1.0
2025-02-23,15.0,1.0
2025-02-24,15.0,1.0
2025-02-24,15.0,1.0
2025-02-24,15.0,1.0
2025-02-25,50.0,1.0
2025-02-25,50.0,1.0
2025-02-25,50.0,1.0
2025-02-26,50.0,1.0
2025-02-26,50.0,1.0
2025-02-26,50.0,1.0
2025-02-27,50.0,1.0
2025-02-27,50.0,1.0
2025-02-27,50.0,1.0
2025-02-28,50.0,1.0
2025-02-28,50.0,1.0
2025-02-28,50.0,1.0
2025-03-01,50.0,1.0
2025-03-01,50.0,1.0
2025-03-01,50.0,1.0
2025-03-02,50.0,1.0
2025-03-02,50.0,1.0
2025-03-02,50.0,1.0
2025-03-03,50.0,1.0
2025-03-03,50.0,1.0
2025-03-03,50.0,1.0
2025-03-04,50.0,1.0
2025-03-04,50.0,1.0
2025-03-04,50.0,1.0
2025-03-05,50.0,1.0
2025-03-05,50.0,1.0
2025-03-05,50.0,1.0
2025-03-06,50.0,1.0
2025-03-06,50.0,1.0
2025-03-06,50.0,1.0
2025-03-07,50.0,1.0
2025-03-07,50.0,1.0
2025-03-07,50.0,1.0
2025-03-08,50.0,1.0
2025-03-08,50.0,1.0
2025-03-08,50.0,1.0
2025-03-09,50.0,1.0
2025-03-09,50.0,1.0
2025-03-09,50.0,1.0
2025-03-10,50.0,1.0
2025-03-10,50.0,1.0
2025-03-10,50.0,1.0
2025-03-11,50.0,1.0
2025-03-11,50.0,1.0
2025-03-11,50.0,1.0
2025-03-12,50.0,1.0
2025-03-12,50.0,1.0
2025-03-12,50.0,1.0
2025-03-13,50.0,1.0
2025-03-13,50.0,1.0
2025-03-13,50.0,1.0
2025-03-14,50.0,1.0
2025-03-14,50.0,1.0
2025-03-14,50.0,1.0
2025-03-15,50.0,1.0
2025-03-15,50.0,1.0
2025-03-15,50.0,1.0
2025-03-16,50.0,1.0
2025-03-16,50.0,1.0
2025-03-16,50.0,1.0
2025-03-17,50.0,1.0
2025-03-17,50.0,1.0
2025-03-17,50.0,1.0
2025-03-18,50.0,1.0
2025-03-18,50.0,1.0
2025-03-18,50.0,1.0
2025-03-19,50.0,1.0
2025-03-19,50.0,1.0
2025-03-19,50.0,1.0
2025-03-20,50.0,1.0
2025-03-20,50.0,1.0
2025-03-20,50.0,1.0
2025-03-21,50.0,1.0
2025-03-21,50.0,1.0
2025-03-21,50.0,1.0
2025-03-22,50.0,1.0
2025-03-22,50.0,1.0
2025-03-22,50.0,1.0
2025-03-23,50.0,1.0
2025-03-23,50.0,1.0
2025-03-23,50.0,1.0
2025-03-24,50.0,1.0
2025-03-24,50.0,1.0
2025-03-24,50.0,1.0
2025-03-25,50.0,1.0
2025-03-25,50.0,1.0
2025-03-25,50.0,1.0
2025-03-26,50.0,1.0
2025-03-26,50.0,1.0
2025-03-26,50.0,1.0
2025-03-27,50.0,1.0
2025-03-27,50.0,1.0
2025-03-27,50.0,1.0
2025-03-28,50.0,1.0
2025-03-28,50.0,1.0
2025-03-28,50.0,1.0
2025-03-29,50.0,1.0
2025-03-29,50.0,1.0
2025-03-29,50.0,1.0
2025-03-30,50.0,1.0
2025-03-30,50.0,1.0
2025-03-30,50.0,1.0
2025-03-31,50.0,1.0
2025-03-31,50.0,1.0
2025-03-31,50.0,1.0
2025-04-01,50.0,1.0
2025-04-01,50.0,1.0
2025-04-01,50.0,1.0
2025-04-02,50.0,1.0
2025-04-02,50.0,1.0
2025-04-02,50.0,1.0
2025-04-03,50.0,1.0
2025-04-03,50.0,1.0
2025-04-03,50.0,1.0
2025-04-04,50.0,1.0
2025-04-04,50.0,1.0
2025-04-04,50.0,1.0
2025-04-05,50.0,1.0
2025-04-05,50.0,1.0
2025-04-05,50.0,1.0
2025-04-06,50.0,1.0
2025-04-06,50.0,1.0
2025-04-06,50.0,1.0
2025-04-07,50.0,1.0
2025-04-07,50.0,1.0
2025-04-07,50.0,1.0
2025-04-08,50.0,1.0
2025-04-08,50.0,1.0
2025-04-08,50.0,1.0
2025-04-09,50.0,1.0
2025-04-09,50.0,1.0
2025-04-09,50.0,1.0
2025-04-10,50.0,1.0
2025-04-10,50.0,1.0
2025-04-10,50.0,1.0
2025-04-11,50.0,1.0
2025-04-11,50.0,1.0
2025-04-11,50.0,1.0
2025-04-12,50.0,1.0
2025-04-12,50.0,1.0
2025-04-12,50.0,1.0
2025-04-13,50.0,1.0
2025-04-13,50.0,1.0
2025-04-13,50.0,1.0
2025-04-14,50.0,1.0
2025-04-14,50.0,1.0
2025-04-14,50.0,1.0
2025-04-15,50.0,1.0
2025-04-15,50.0,1.0
2025-04-15,50.0,1.0
2025-04-16,50.0,1.0
2025-04-16,50.0,1.0
2025-04-16,50.0,1.0
2025-04-17,50.0,1.0
2025-04-17,50.0,1.0
2025-04-17,50.0,1.0
2025-04-18,50.0,1.0
2025-04-18,50.0,1.0
2025-04-18,50.0,1.0
2025-04-19,50.0,1.0
2025-04-19,50.0,1.0
2025-04-19,50.0,1.0
2025-04-20,50.0,1.0
2025-04-20,50.0,1.0
2025-04-20,50.0,1.0
2025-04-21,50.0,1.0
2025-04-21,50.0,1.0
2025-04-21,50.0,1.0
2025-04-22,50.0,1.0
2025-04-22,50.0,1.0
2025-04-22,50.0,1.0
2025-04-23,50.0,1.0
2025-04-23,50.0,1.0
2025-04-23,50.0,1.0
2025-04-24,50.0,1.0
2025-04-24,50.0,1.0
2025-04-24,50.0,1.0
2025-04-25,50.0,1.0
2025-04-25,50.0,1.0
2025-04-25,50.0,1.0
2025-04-26,50.0,1.0
2025-04-26,50.0,1.0
2025-04-26,50.0,1.0
2025-04-27,50.0,1.0
2025-04-27,50.0,1.0
2025-04-27,50.0,1.0
2025-04-28,50.0,1.0
2025-04-28,50.0,1.0
2025-04-28,50.0,1.0
2025-04-29,50.0,1.0
2025-04-29,50.0,1.0
2025-04-29,50.0,1.0
2025-04-30,50.0,1.0
